name,hof_class,year_drafted,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kyle Singler,0.0,2012,82,28.0,8.8,3.4,7.8,42.8,0.9,2.4,35.0,1.2,1.5,80.6,1.3,2.7,4.0,0.9,0.7,0.5,1.2,8.9
Kyle Weaver,0.0,2008,56,20.8,5.3,2.0,4.4,45.9,0.6,1.7,34.4,0.7,1.0,70.7,0.6,1.8,2.3,1.8,0.8,0.5,1.2,6.8
Kyrie Irving,0.0,2011,51,30.5,18.5,6.9,14.6,46.9,1.4,3.6,39.9,3.4,3.8,87.2,0.9,2.9,3.7,5.4,1.1,0.4,3.1,17.7
Labradford Smith,0.0,1991,48,14.8,5.1,2.1,5.1,40.7,0.0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,1.7,2.1,0.9,0.0,1.3,5.3
Lafayette Lever,0.0,1982,81,24.9,7.8,3.2,7.3,43.1,0.1,0.2,33.3,1.4,2.0,73.0,1.0,1.7,2.8,5.3,1.9,0.2,1.7,11.5
Lamar Odom,0.0,1999,76,36.4,16.6,5.9,13.5,43.8,0.8,2.2,36.0,4.0,5.5,71.9,2.1,5.7,7.8,4.2,1.2,1.3,3.4,18.5
Lamar Patterson,0.0,2015,35,11.3,2.4,0.8,2.3,35.0,0.3,1.4,24.5,0.5,0.6,72.7,0.1,1.3,1.4,1.1,0.3,0.1,0.7,2.9
LaMarcus Aldridge,0.0,2006,63,22.1,9.0,3.8,7.6,50.3,0.0,0.0,0.0,1.3,1.8,72.2,2.3,2.7,5.0,0.4,0.3,1.2,0.7,10.8
Lamond Murray,0.0,1994,81,31.6,14.1,5.4,13.5,40.2,0.8,2.7,29.8,2.5,3.3,75.4,1.6,2.7,4.4,1.6,0.9,0.7,2.0,10.8
Lancaster Gordon,0.0,1984,63,10.8,4.1,1.7,4.6,38.3,0.0,0.1,22.2,0.6,0.8,75.5,0.4,0.6,1.0,1.4,0.5,0.1,1.1,3.0
Lance Thomas,0.0,2011,42,15.0,4.0,1.4,3.0,45.2,0.0,0.0,0.0,1.2,1.5,83.9,1.2,1.8,3.0,0.3,0.2,0.2,0.6,5.2
Landry Fields,0.0,2010,82,31.0,9.7,3.6,7.3,49.7,1.0,2.7,39.3,1.4,1.8,76.9,1.3,5.1,6.4,1.9,1.0,0.2,1.3,13.7
Langston Galloway,0.0,2014,45,32.4,11.8,4.5,11.4,39.9,1.4,3.9,35.2,1.4,1.7,80.8,0.8,3.4,4.2,3.3,1.2,0.3,1.4,12.3
LaPhonso Ellis,0.0,1992,82,33.5,14.7,5.9,11.7,50.4,0.0,0.2,15.4,2.9,3.9,74.8,3.3,5.7,9.1,1.8,0.9,1.4,1.9,19.2
Lari Ketner,0.0,1999,22,6.0,1.5,0.6,1.5,40.6,0.0,0.0,0.0,0.4,0.5,66.7,0.5,1.0,1.5,0.0,0.2,0.1,0.5,2.0
Larry Drew,0.0,1980,76,20.8,6.6,2.6,6.4,40.7,0.1,0.2,23.5,1.4,1.8,79.7,0.3,1.3,1.6,3.3,1.2,0.1,2.2,6.4
Larry Hughes,0.0,1998,50,19.8,9.1,3.4,8.3,41.1,0.2,1.0,15.4,2.1,3.0,70.9,1.7,2.1,3.8,1.5,0.9,0.3,1.4,8.5
Larry Johnson,0.0,1991,82,37.2,19.2,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,3.6,1.0,0.6,1.9,24.7
Larry Krystkowiak,0.0,1986,68,14.8,6.6,2.5,5.5,45.6,0.0,0.2,8.3,1.6,2.2,74.3,1.1,2.4,3.5,1.3,0.3,0.2,1.0,7.4
Larry Micheaux,0.0,1983,39,8.5,3.1,1.3,2.3,54.4,0.0,0.0,0.0,0.5,1.0,53.8,1.0,1.9,2.9,0.5,0.5,0.3,0.5,5.2
Larry Nance,0.0,1981,80,14.8,6.6,2.8,5.5,52.1,0.0,0.0,0.0,0.9,1.5,64.1,1.2,2.0,3.2,1.0,0.5,0.9,1.3,7.8
Larry Nance Jr.,0.0,2015,63,20.1,5.5,2.5,4.8,52.7,0.0,0.2,10.0,0.5,0.7,68.1,1.6,3.3,5.0,0.7,0.9,0.4,0.7,9.3
Larry Robinson,0.0,1990,36,11.8,3.9,1.7,4.2,41.3,0.0,0.0,0.0,0.4,0.8,55.6,0.8,0.6,1.4,1.0,0.4,0.0,0.8,3.2
Larry Sanders,0.0,2010,60,14.5,4.3,1.9,4.5,43.3,0.0,0.0,0.0,0.5,0.8,56.0,1.0,2.0,3.0,0.3,0.4,1.2,0.6,5.6
Larry Smith,0.0,1980,82,31.4,9.6,3.7,7.2,51.2,0.0,0.0,0.0,2.2,3.7,58.8,5.3,6.8,12.1,1.1,0.8,0.8,1.8,17.6
Larry Stewart,0.0,1991,76,29.3,10.4,4.0,7.8,51.4,0.0,0.0,0.0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,13.3
LaSalle Thompson,0.0,1982,71,13.9,5.4,2.1,4.0,51.2,0.0,0.0,0.0,1.3,1.9,65.0,1.9,3.4,5.3,0.5,0.6,0.9,1.4,8.6
Latrell Sprewell,0.0,1992,77,35.6,15.4,5.8,12.6,46.4,0.9,2.6,36.9,2.7,3.7,74.6,1.0,2.5,3.5,3.8,1.6,0.7,2.6,14.7
Lavoy Allen,0.0,2011,41,15.2,4.1,1.9,4.1,47.3,0.0,0.0,0.0,0.3,0.3,78.6,1.1,3.0,4.2,0.8,0.3,0.4,0.5,7.2
Lawrence Funderburke,0.0,1997,52,21.0,9.5,3.7,7.5,49.0,0.0,0.1,14.3,2.1,3.1,67.9,1.5,3.0,4.5,1.2,0.4,0.3,1.2,9.8
Lawrence Moten,0.0,1995,44,13.0,6.6,2.5,5.6,45.3,0.4,1.3,32.7,1.1,1.7,65.3,0.8,0.6,1.4,1.1,0.7,0.2,1.0,5.3
