,Name,Hall of Fame Class,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
380,Derek Fisher,Not Inducted,1996,80,11.5,3.9,1.3,3.3,39.7,0.3,0.9,30.1,1.0,1.5,65.8,0.3,0.9,1.2,1.5,0.5,0.1,0.9,3.8
381,Derek Harper,Not Inducted,1983,82,20.9,5.7,2.4,5.5,44.3,0.0,0.3,11.5,0.8,1.2,67.3,0.6,1.5,2.1,2.9,1.2,0.3,1.4,7.3
382,DerMarr Johnson,Not Inducted,2000,78,16.8,5.1,1.9,5.0,37.4,0.5,1.6,32.3,0.8,1.1,73.6,0.7,1.6,2.3,0.8,0.6,0.4,1.2,4.5
383,Deron Williams,Not Inducted,2005,80,28.8,10.8,4.2,10.1,42.1,1.1,2.7,41.6,1.2,1.7,70.4,0.4,2.0,2.4,4.5,0.8,0.2,1.8,10.5
384,Derrick Alston,Not Inducted,1994,64,16.1,4.7,1.9,4.0,46.5,0.0,0.1,0.0,0.9,1.9,49.2,1.5,1.9,3.4,0.5,0.6,0.6,0.8,5.8
385,Derrick Brown,Not Inducted,2009,57,9.4,3.3,1.2,2.6,46.3,0.0,0.1,28.6,0.8,1.3,66.7,0.5,0.8,1.4,0.3,0.4,0.2,0.3,3.4
386,Derrick Caracter,Not Inducted,2010,41,5.2,2.0,0.8,1.6,48.5,0.0,0.0,0.0,0.4,0.6,73.9,0.5,0.6,1.0,0.2,0.1,0.2,0.5,2.1
387,Derrick Chievous,Not Inducted,1988,81,19.0,9.3,3.4,7.8,43.7,0.1,0.3,20.8,2.4,3.0,78.3,1.4,1.8,3.2,1.0,0.6,0.1,1.7,7.4
388,Derrick Coleman,Not Inducted,1990,74,35.2,18.4,6.9,14.9,46.7,0.2,0.5,34.2,4.4,6.0,73.1,3.6,6.6,10.3,2.2,1.0,1.3,2.9,20.7
389,Derrick Favors,Not Inducted,2010,78,19.7,6.8,2.8,5.3,51.7,0.0,0.0,0.0,1.3,2.2,59.5,2.2,3.1,5.3,0.5,0.4,0.9,1.0,9.4
390,Derrick McKey,Not Inducted,1987,82,20.8,8.5,3.1,6.3,49.1,0.1,0.4,36.7,2.1,2.7,77.2,1.4,2.6,4.0,1.3,0.8,0.8,1.3,10.2
391,Derrick Rose,Not Inducted,2008,81,37.0,16.8,7.1,14.9,47.5,0.2,0.9,22.2,2.4,3.1,78.8,1.2,2.7,3.9,6.3,0.8,0.2,2.5,17.1
392,Derrick Williams,Not Inducted,2011,66,21.5,8.8,3.1,7.5,41.2,0.6,2.1,26.8,2.1,3.0,69.7,1.2,3.5,4.7,0.6,0.5,0.5,1.2,8.5
393,DeShawn Stevenson,Not Inducted,2000,40,7.3,2.2,0.8,2.3,34.1,0.0,0.3,8.3,0.7,1.0,68.4,0.2,0.5,0.7,0.5,0.3,0.1,0.7,1.2
394,Desmond Mason,Not Inducted,2000,78,19.5,5.9,2.4,5.6,43.1,0.2,0.9,26.9,0.9,1.2,73.6,0.9,2.3,3.2,0.8,0.5,0.3,0.7,6.5
395,Detlef Schrempf,Not Inducted,1985,64,15.1,6.2,2.2,4.9,45.1,0.0,0.1,42.9,1.7,2.4,72.4,1.1,2.0,3.1,1.4,0.4,0.2,1.3,6.5
396,Devean George,Not Inducted,1999,49,7.0,3.2,1.1,2.9,38.9,0.3,1.0,34.0,0.6,0.8,65.9,0.6,0.9,1.5,0.2,0.2,0.1,0.4,2.7
397,Devin Booker,Not Inducted,2015,76,27.7,13.8,4.8,11.4,42.3,1.3,3.8,34.3,2.8,3.4,84.0,0.4,2.1,2.5,2.6,0.6,0.3,2.1,10.5
398,Devin Durrant,Not Inducted,1984,59,12.8,5.1,1.9,4.6,41.6,0.0,0.1,0.0,1.2,1.7,70.6,0.8,1.3,2.1,1.4,0.3,0.2,1.3,4.5
399,Devin Harris,Not Inducted,2004,76,15.4,5.7,2.1,4.8,42.9,0.6,1.7,33.6,1.0,1.4,75.7,0.4,1.0,1.3,2.2,1.0,0.3,1.1,6.4
400,Dewayne Dedmon,Not Inducted,2013,31,12.6,3.1,1.2,2.7,45.8,0.0,0.0,0.0,0.7,1.0,65.6,1.2,2.9,4.1,0.2,0.2,0.7,0.6,5.9
401,Dewayne Scales,Not Inducted,1980,44,11.0,4.9,2.1,5.1,41.8,0.0,0.1,16.7,0.6,0.9,66.7,1.1,1.9,3.0,0.2,0.3,0.1,0.7,4.5
402,Dexter Cambridge,Not Inducted,1992,53,16.7,7.0,2.8,5.9,48.4,0.0,0.1,0.0,1.3,1.9,68.7,1.7,1.5,3.2,1.1,0.5,0.1,1.2,7.0
403,Dickey Simpkins,Not Inducted,1994,59,9.9,3.5,1.3,3.1,42.4,0.0,0.0,0.0,0.8,1.2,69.4,1.0,1.5,2.6,0.6,0.2,0.1,0.8,4.0
404,Dikembe Mutombo,Hall of Fame Member,1991,71,38.3,16.6,6.0,12.2,49.3,0.0,0.0,0.0,4.5,7.0,64.2,4.5,7.8,12.3,2.2,0.6,3.0,3.5,22.3
405,Dino Radja,Hall of Fame Member,1993,80,28.8,15.1,6.1,11.8,52.1,0.0,0.0,0.0,2.8,3.8,75.1,2.4,4.8,7.2,1.4,0.9,0.8,1.9,17.0
406,Dion Waiters,Not Inducted,2012,61,28.8,14.7,5.5,13.4,41.2,1.0,3.3,31.0,2.6,3.5,74.6,0.4,2.1,2.4,3.0,1.0,0.3,2.0,10.6
407,Dionte Christmas,Not Inducted,2013,31,6.4,2.3,0.7,2.0,35.5,0.3,1.0,29.0,0.6,0.8,75.0,0.4,0.8,1.2,0.3,0.1,0.1,0.2,2.3
408,Dirk Minniefield,Not Inducted,1985,76,14.9,5.5,2.2,4.6,48.1,0.1,0.5,27.0,1.0,1.2,78.5,0.6,1.2,1.7,3.5,0.9,0.0,1.4,7.6
409,Dirk Nowitzki,Not Inducted,1998,47,20.4,8.2,2.9,7.1,40.5,0.3,1.4,20.6,2.1,2.7,77.3,0.9,2.6,3.4,1.0,0.6,0.6,1.6,7.4
410,Doc Rivers,Not Inducted,1983,81,23.9,9.3,3.1,6.7,46.2,0.0,0.1,16.7,3.1,4.0,78.5,0.9,1.8,2.7,3.9,1.6,0.4,2.1,11.3
411,Domantas Sabonis,Not Inducted,2016,34,21.1,6.4,2.6,6.0,43.9,1.0,2.4,39.8,0.1,0.2,57.1,0.5,3.1,3.6,1.3,0.6,0.5,1.1,7.7
412,Dominic McGuire,Not Inducted,2007,70,9.9,1.3,0.6,1.5,37.9,0.0,0.1,16.7,0.2,0.5,43.8,0.8,1.2,2.0,0.6,0.3,0.4,0.6,2.8
413,Dominique Wilkins,Hall of Fame Member,1982,82,32.9,17.5,7.3,14.9,49.3,0.0,0.1,18.2,2.8,4.1,68.2,2.8,3.1,5.8,1.6,1.0,0.8,2.2,15.6
414,Don Collins,Not Inducted,1980,81,22.8,11.5,4.4,10.0,44.4,0.0,0.1,0.0,2.6,3.4,77.6,1.6,1.7,3.3,2.3,1.3,0.3,2.1,10.3
415,Don MacLean,Not Inducted,1992,62,10.9,6.6,2.5,5.8,43.5,0.0,0.1,50.0,1.5,1.8,81.1,0.5,1.4,2.0,0.6,0.2,0.1,0.7,5.1
416,Don Reid,Not Inducted,1995,69,14.4,3.8,1.5,2.7,56.7,0.0,0.0,0.0,0.7,1.1,66.2,1.1,1.8,2.9,0.2,0.7,0.6,0.6,6.0
417,Donald Hodge,Not Inducted,1991,51,20.7,8.4,3.2,6.4,49.7,0.0,0.0,0.0,2.0,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,9.8
418,Donald Royal,Not Inducted,1989,66,11.3,5.9,1.8,3.9,45.9,0.0,0.0,0.0,2.3,3.0,77.7,1.0,1.0,2.1,0.7,0.5,0.1,1.2,5.2
419,Donald Sloan,Not Inducted,2011,33,20.3,5.5,2.4,6.0,39.9,0.1,0.8,8.0,0.7,0.9,76.7,0.5,1.5,2.0,3.2,0.4,0.1,1.5,5.9
420,Donatas Motiejunas,Not Inducted,2012,44,12.2,5.7,2.2,4.8,45.5,0.5,1.9,28.9,0.7,1.2,62.7,0.8,1.3,2.1,0.7,0.2,0.2,0.8,5.0
421,Donell Taylor,Not Inducted,2005,51,9.1,2.7,1.0,2.7,39.0,0.1,0.3,23.5,0.6,0.8,69.8,0.3,0.7,1.0,0.9,0.6,0.1,0.7,2.8
422,Donta Smith,Not Inducted,2004,38,11.4,3.3,1.2,3.0,38.9,0.2,0.6,27.3,0.9,1.3,68.8,0.5,0.9,1.4,1.0,0.6,0.1,0.7,3.6
423,Donte Greene,Not Inducted,2008,55,13.2,3.8,1.4,4.3,32.6,0.5,1.8,26.0,0.5,0.6,85.3,0.3,1.2,1.6,0.5,0.3,0.3,0.7,2.8
424,Donyell Marshall,Not Inducted,1994,72,29.0,12.6,4.8,12.2,39.4,1.0,3.4,28.4,2.0,3.1,66.2,1.9,3.7,5.6,1.5,0.6,1.2,1.6,11.5
425,Dorian Finney-Smith,Not Inducted,2016,33,22.8,5.2,1.9,4.6,40.5,0.9,2.8,32.3,0.6,0.8,76.0,0.7,2.2,2.8,1.0,0.6,0.3,0.7,6.3
426,Doron Lamb,Not Inducted,2012,47,12.3,3.3,1.3,3.5,36.8,0.3,0.8,37.8,0.4,0.7,58.8,0.2,0.8,1.0,0.7,0.3,0.0,0.6,2.2
427,Doug Lee,Not Inducted,1991,46,6.7,2.6,1.1,2.5,43.1,0.2,0.8,27.0,0.2,0.4,52.6,0.4,0.4,0.8,0.5,0.2,0.0,0.3,2.2
428,Doug Overton,Not Inducted,1992,45,22.0,8.1,3.4,7.2,47.1,0.1,0.3,23.1,1.3,1.8,72.8,0.6,1.8,2.4,3.5,0.7,0.1,1.6,8.9
429,Doug Roth,Not Inducted,1989,42,9.8,1.9,0.9,2.0,43.0,0.0,0.0,0.0,0.2,0.3,50.0,1.0,1.8,2.9,0.5,0.2,0.3,0.4,4.0
430,Doug Smith,Not Inducted,1991,76,22.5,8.8,3.8,9.2,41.5,0.0,0.1,0.0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,9.8
431,Doug West,Not Inducted,1989,52,7.3,2.6,1.0,2.6,39.3,0.1,0.2,27.3,0.5,0.6,81.3,0.5,0.9,1.3,0.3,0.2,0.1,0.6,2.3
432,Dragan Bender,Not Inducted,2016,27,12.4,3.3,1.3,3.2,40.7,0.7,2.1,33.9,0.0,0.2,16.7,0.3,1.8,2.0,0.4,0.3,0.5,0.7,3.8
433,Dragan Tarlac,Not Inducted,2000,43,13.9,2.4,0.9,2.3,39.4,0.0,0.0,0.0,0.6,0.8,75.8,0.9,2.0,2.8,0.7,0.2,0.4,0.9,4.1
434,Draymond Green,Not Inducted,2012,79,13.4,2.9,1.1,3.3,32.7,0.2,0.8,20.9,0.6,0.7,81.8,0.7,2.6,3.3,0.7,0.5,0.3,0.7,4.7
435,Drazen Petrovic,Hall of Fame Member,1989,77,12.6,7.6,2.7,5.5,48.5,0.4,1.0,45.9,1.8,2.1,84.4,0.6,0.8,1.4,1.5,0.3,0.0,1.3,6.4
436,Drew Gooden,Not Inducted,2002,70,26.8,12.5,5.1,11.1,45.7,0.2,0.7,29.2,2.2,3.0,71.2,2.3,4.2,6.5,1.2,0.8,0.5,2.1,12.4
437,Duane Causwell,Not Inducted,1990,76,22.6,6.9,2.8,5.4,50.8,0.0,0.0,0.0,1.4,2.2,63.6,1.9,3.3,5.1,0.9,0.6,1.9,1.3,10.8
438,Duane Cooper,Not Inducted,1992,65,9.9,2.4,1.0,2.4,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0.8,2.3,0.3,0.0,1.1,3.1
439,Duane Ferrell,Not Inducted,1988,41,5.6,2.4,0.9,2.0,42.2,0.0,0.0,0.0,0.7,1.1,68.2,0.5,0.5,1.0,0.2,0.2,0.1,0.3,2.2
440,Dwayne McClain,Not Inducted,1985,45,10.2,3.5,1.5,4.0,38.3,0.0,0.2,11.1,0.4,0.8,51.4,0.3,0.4,0.7,1.5,0.8,0.1,0.9,2.8
441,Dwayne Morton,Not Inducted,1994,41,9.6,4.1,1.2,3.1,38.8,0.2,0.6,36.0,1.4,2.1,68.2,0.5,0.9,1.4,0.4,0.3,0.4,0.7,3.3
442,Dwayne Schintzius,Not Inducted,1990,42,9.5,3.8,1.6,3.7,43.9,0.0,0.0,0.0,0.5,1.0,55.0,0.7,2.2,2.9,0.4,0.1,0.7,0.8,4.5
443,Dwayne Washington,Not Inducted,1986,72,22.2,8.6,3.6,7.5,47.8,0.1,0.3,16.7,1.4,1.7,78.4,0.5,1.3,1.8,4.2,1.3,0.1,2.4,9.2
444,Dwight Howard,Not Inducted,2004,82,32.6,12.0,4.3,8.3,52.0,0.0,0.0,0.0,3.4,5.0,67.1,3.5,6.5,10.0,0.9,0.9,1.7,2.0,17.9
445,Dwyane Wade,Not Inducted,2003,61,34.9,16.2,6.1,13.1,46.5,0.3,0.9,30.2,3.8,5.1,74.7,1.4,2.7,4.0,4.5,1.4,0.6,3.2,15.3
446,Earl Boykins,Not Inducted,1998,22,10.0,3.0,1.4,3.6,38.0,0.1,0.8,16.7,0.1,0.1,66.7,0.3,0.5,0.8,1.5,0.3,0.0,0.9,2.3
447,Earl Clark,Not Inducted,2009,51,7.5,2.7,1.1,3.0,37.1,0.0,0.1,40.0,0.5,0.7,72.2,0.4,0.9,1.2,0.4,0.1,0.3,0.5,2.3
448,Earl Cureton,Not Inducted,1980,52,10.2,4.2,1.8,3.9,45.4,0.0,0.0,0.0,0.6,1.2,51.6,1.0,2.0,3.0,0.5,0.4,0.4,0.6,5.2
449,Earl Watson,Not Inducted,2001,64,15.1,3.6,1.5,3.3,45.3,0.3,0.7,36.4,0.4,0.6,63.9,0.5,0.8,1.3,2.0,0.9,0.1,0.8,5.1
450,Ed Davis,Not Inducted,2010,65,24.6,7.7,3.3,5.7,57.6,0.0,0.0,0.0,1.1,2.0,55.5,2.6,4.5,7.1,0.6,0.6,1.0,0.7,13.0
451,Ed Horton,Not Inducted,1989,45,8.3,4.5,1.8,3.6,49.4,0.0,0.1,0.0,0.9,1.5,60.9,1.3,1.1,2.4,0.4,0.2,0.1,0.9,4.3
452,Ed Nealy,Not Inducted,1982,82,20.0,4.4,1.8,3.0,59.5,0.0,0.0,0.0,0.9,1.4,61.4,2.1,3.8,5.9,0.8,0.8,0.1,0.6,9.7
453,Ed Pinckney,Not Inducted,1985,80,20.0,8.5,3.2,5.7,55.8,0.0,0.0,0.0,2.1,3.2,67.3,1.2,2.7,3.9,1.1,0.9,0.5,1.9,9.4
454,Ed Rains,Not Inducted,1981,49,13.0,3.9,1.6,3.6,43.5,0.0,0.0,0.0,0.8,1.3,59.4,0.8,0.9,1.6,0.8,0.4,0.0,0.5,3.7
455,Eddie Griffin,Not Inducted,2001,73,26.0,8.8,3.3,9.1,36.6,1.2,3.7,33.0,0.9,1.2,74.4,1.6,4.1,5.7,0.7,0.2,1.8,0.6,10.6
456,Eddie House,Not Inducted,2000,50,11.0,5.0,2.1,4.9,42.1,0.4,1.1,34.5,0.5,0.7,68.6,0.1,0.7,0.8,1.0,0.3,0.0,0.7,3.4
457,Eddie Johnson,Not Inducted,1981,74,20.5,9.3,4.0,8.7,45.9,0.0,0.1,9.1,1.3,2.0,66.4,1.7,2.6,4.4,1.5,0.7,0.2,1.3,9.3
458,Eddie Jones,Not Inducted,1994,64,31.0,14.0,5.3,11.6,46.0,1.4,3.8,37.0,1.9,2.6,72.2,1.2,2.7,3.9,2.0,2.0,0.6,1.2,14.4
459,Eddie Phillips,Not Inducted,1982,48,8.7,3.2,1.2,2.9,40.6,0.0,0.0,0.0,0.8,1.2,67.8,0.6,1.0,1.6,0.6,0.3,0.2,1.0,2.7
460,Eddie Robinson,Not Inducted,1999,67,16.6,7.0,3.2,5.8,54.9,0.0,0.1,0.0,0.7,1.0,73.4,0.8,1.9,2.7,0.5,0.7,0.4,0.6,7.9
461,Eddielee Wilkins,Not Inducted,1984,54,17.0,5.5,2.1,4.3,49.8,0.0,0.0,0.0,1.2,2.3,54.1,1.6,3.3,4.9,0.3,0.4,0.3,1.2,7.0
462,Eddy Curry,Not Inducted,2001,72,16.0,6.7,2.6,5.2,50.1,0.0,0.0,0.0,1.5,2.2,65.6,1.5,2.2,3.8,0.3,0.2,0.7,1.0,7.5
463,Edgar Jones,Not Inducted,1980,60,15.8,8.7,3.2,6.0,52.9,0.0,0.1,0.0,2.4,3.6,67.0,1.5,2.9,4.4,0.7,0.6,1.4,1.7,10.1
464,Edmund Sherod,Not Inducted,1982,64,25.4,6.2,2.7,6.6,40.6,0.0,0.2,7.7,0.8,1.3,65.0,0.7,1.7,2.3,4.9,1.5,0.2,1.6,9.1
465,Eduardo Najera,Not Inducted,2000,40,10.8,3.3,1.5,2.8,52.3,0.0,0.1,33.3,0.4,0.8,42.4,1.0,1.4,2.4,0.7,0.3,0.2,0.4,4.6
466,Efthimios Rentzias,Not Inducted,2002,35,4.1,1.5,0.6,1.7,33.9,0.1,0.2,50.0,0.2,0.3,88.9,0.3,0.5,0.7,0.2,0.2,0.1,0.1,1.4
467,Ekpe Udoh,Not Inducted,2010,58,17.8,4.1,1.7,3.8,43.7,0.0,0.0,0.0,0.7,1.1,65.6,1.4,1.7,3.1,0.7,0.4,1.5,0.8,6.4
468,Elden Campbell,Not Inducted,1990,52,7.3,2.8,1.1,2.4,45.5,0.0,0.0,0.0,0.6,0.9,65.3,0.8,1.1,1.8,0.2,0.2,0.7,0.3,3.8
469,Elfrid Payton,Not Inducted,2014,82,30.4,8.9,3.7,8.6,42.5,0.1,0.5,26.2,1.4,2.6,55.1,1.3,3.0,4.3,6.5,1.7,0.2,2.5,13.0
470,Elijah Millsap,Not Inducted,2014,47,19.7,5.3,1.7,5.1,34.0,0.6,1.9,31.1,1.2,1.8,67.4,0.6,2.6,3.2,1.2,1.2,0.3,1.4,5.9
471,Elliot Perry,Not Inducted,1991,50,8.7,2.5,1.0,2.6,38.0,0.0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1.0,2.7
472,Elmore Spencer,Not Inducted,1992,44,6.4,2.4,1.0,1.9,53.7,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.0,1.4,0.2,0.2,0.4,0.6,2.7
473,Elston Turner,Not Inducted,1981,80,25.0,8.3,3.5,8.0,44.1,0.0,0.1,0.0,1.2,1.7,70.3,1.8,2.0,3.8,2.4,0.9,0.0,1.4,8.9
474,Elton Brand,Not Inducted,1999,81,37.0,20.1,7.8,16.1,48.2,0.0,0.0,0.0,4.5,6.6,68.5,4.3,5.7,10.0,1.9,0.8,1.6,2.8,21.2
475,Emeka Okafor,Not Inducted,2004,73,35.6,15.1,6.1,13.7,44.7,0.0,0.0,0.0,2.9,4.7,60.9,3.8,7.1,10.9,0.9,0.8,1.7,1.7,18.3
476,Emmanuel Mudiay,Not Inducted,2015,68,30.4,12.8,4.8,13.3,36.4,1.1,3.4,31.9,2.1,3.1,67.0,0.5,2.9,3.4,5.5,1.0,0.5,3.2,10.5
477,Enes Kanter,Not Inducted,2011,66,13.2,4.6,1.8,3.6,49.6,0.0,0.0,0.0,1.1,1.6,66.7,1.6,2.6,4.2,0.1,0.3,0.3,0.8,6.4
478,Ennis Whatley,Not Inducted,1983,80,27.0,8.4,3.3,7.0,46.9,0.0,0.0,0.0,1.8,2.5,73.0,0.8,1.7,2.5,8.3,1.5,0.2,3.4,13.1
479,Eric Bledsoe,Not Inducted,2010,81,22.7,6.7,2.5,6.0,42.4,0.4,1.4,27.6,1.2,1.6,74.4,0.8,1.9,2.8,3.6,1.1,0.3,2.4,8.2
480,Eric Gordon,Not Inducted,2008,78,34.3,16.1,5.3,11.6,45.6,1.7,4.3,38.9,3.8,4.5,85.4,0.6,2.0,2.6,2.8,1.0,0.5,2.1,13.8
481,Eric Johnson,Not Inducted,1989,48,5.7,1.1,0.4,1.8,23.8,0.0,0.1,16.7,0.3,0.4,76.5,0.2,0.4,0.6,1.3,0.3,0.0,0.5,1.5
482,Eric Leckner,Not Inducted,1988,75,10.4,4.3,1.6,2.9,54.5,0.0,0.0,0.0,1.1,1.5,69.9,0.6,2.0,2.7,0.2,0.1,0.3,0.9,4.8
483,Eric Maynor,Not Inducted,2009,81,15.7,4.7,1.9,4.5,41.8,0.3,0.9,31.0,0.6,0.9,72.2,0.3,1.3,1.6,3.3,0.5,0.1,1.1,6.3
484,Eric Mobley,Not Inducted,1994,46,12.8,3.9,1.7,2.9,59.1,0.0,0.0,100.0,0.5,1.0,48.9,1.2,2.1,3.3,0.5,0.2,0.6,0.5,6.3
485,Eric Montross,Not Inducted,1994,78,29.7,10.0,3.9,7.4,53.4,0.0,0.0,0.0,2.1,3.4,63.5,2.5,4.7,7.3,0.5,0.4,0.8,1.4,12.8
486,Eric Murdock,Not Inducted,1991,50,9.6,4.1,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,1.8,0.6,0.1,1.0,4.3
487,Eric Piatkowski,Not Inducted,1994,81,14.9,7.0,2.5,5.6,44.1,0.9,2.4,37.4,1.1,1.4,78.3,0.8,0.9,1.6,1.0,0.5,0.2,0.8,6.0
488,Eric Riley,Not Inducted,1993,47,4.7,1.9,0.7,1.5,48.6,0.0,0.0,0.0,0.4,0.8,54.1,0.5,0.7,1.3,0.2,0.1,0.2,0.3,2.2
489,Eric Snow,Not Inducted,1995,43,9.0,2.7,1.0,2.3,42.0,0.0,0.2,20.0,0.7,1.1,59.2,0.2,0.8,1.0,1.7,0.7,0.0,0.9,3.3
490,Eric Washington,Not Inducted,1997,66,23.3,7.7,3.0,7.5,40.4,0.7,2.1,32.1,1.0,1.3,78.3,0.7,1.2,1.9,1.2,0.8,0.4,1.1,6.2
491,Eric Williams,Not Inducted,1995,64,23.0,10.7,3.8,8.5,44.1,0.0,0.2,30.0,3.1,4.7,67.1,1.4,2.0,3.4,1.1,0.9,0.2,1.4,8.6
492,Erick Dampier,Not Inducted,1996,72,14.6,5.1,1.8,4.7,39.0,0.0,0.0,100.0,1.5,2.3,63.7,1.3,2.8,4.1,0.6,0.3,1.0,1.2,6.2
493,Ersan Ilyasova,Not Inducted,2006,66,14.7,6.1,2.1,5.5,38.3,0.8,2.2,36.5,1.1,1.3,78.7,0.9,2.0,2.9,0.7,0.4,0.3,0.8,5.9
494,Ervin Johnson,Not Inducted,1993,45,6.2,2.6,1.0,2.4,41.5,0.0,0.0,0.0,0.6,1.0,63.0,1.1,1.6,2.6,0.2,0.2,0.5,0.5,3.8
495,Esteban Batista,Not Inducted,2005,57,8.7,1.8,0.6,1.4,42.5,0.0,0.0,0.0,0.6,0.9,62.3,1.1,1.5,2.5,0.1,0.3,0.2,0.7,3.1
496,Etan Thomas,Not Inducted,2001,47,13.1,4.3,1.7,3.2,53.6,0.0,0.0,0.0,0.9,1.6,55.4,1.2,2.7,3.9,0.1,0.4,0.7,0.6,6.7
497,E'Twaun Moore,Not Inducted,2011,38,8.7,2.9,1.1,3.0,38.1,0.4,1.2,37.8,0.2,0.2,100.0,0.1,0.8,0.9,0.9,0.3,0.1,0.6,2.6
498,Evan Fournier,Not Inducted,2012,38,11.3,5.3,2.0,4.0,49.3,0.6,1.4,40.7,0.8,1.0,76.9,0.2,0.8,0.9,1.2,0.5,0.0,0.8,4.8
499,Evan Turner,Not Inducted,2010,78,23.0,7.2,2.9,6.8,42.5,0.2,0.6,31.8,1.3,1.6,80.8,0.5,3.4,3.9,2.0,0.6,0.2,1.0,8.8
500,Everette Stephens,Not Inducted,1988,35,6.0,1.9,0.7,2.1,31.9,0.1,0.3,20.0,0.5,0.6,77.3,0.3,0.3,0.7,1.1,0.3,0.1,0.8,1.6
501,Fabricio Oberto,Not Inducted,2005,59,8.3,1.7,0.7,1.6,47.3,0.0,0.0,0.0,0.3,0.5,55.6,1.0,1.1,2.1,0.5,0.1,0.2,0.5,3.1
502,Felipe Lopez,Not Inducted,1998,47,25.9,9.3,3.6,8.1,44.6,0.3,0.9,27.3,1.9,2.9,64.4,1.5,2.1,3.5,1.3,1.0,0.3,1.7,8.3
503,Felton Spencer,Not Inducted,1990,81,25.9,7.1,2.4,4.7,51.2,0.0,0.0,0.0,2.2,3.1,72.2,3.4,4.6,7.9,0.3,0.6,1.5,0.9,13.3
504,Festus Ezeli,Not Inducted,2012,78,14.4,2.4,0.9,2.2,43.8,0.0,0.0,0.0,0.6,1.0,53.1,1.8,2.2,4.0,0.3,0.3,0.9,0.8,5.5
505,Francisco Elson,Not Inducted,2003,62,14.1,3.5,1.5,3.2,47.2,0.0,0.0,0.0,0.5,0.7,66.7,1.0,2.2,3.3,0.5,0.6,0.6,0.6,6.0
506,Francisco Garcia,Not Inducted,2005,67,19.4,5.6,1.9,4.9,40.0,0.6,2.0,28.5,1.2,1.5,77.2,0.6,2.2,2.8,1.4,0.6,0.7,1.1,6.7
507,Frank Brickowski,Not Inducted,1984,78,14.3,4.9,1.9,3.9,49.2,0.0,0.1,0.0,1.1,1.6,66.9,1.0,2.4,3.3,1.3,0.4,0.2,1.3,6.4
508,Frank Johnson,Not Inducted,1981,79,25.7,10.7,4.3,10.3,41.4,0.2,1.0,21.5,1.9,2.6,75.0,0.4,1.4,1.9,4.8,1.0,0.1,2.0,9.7
509,Frank Kaminsky,Not Inducted,2015,81,21.1,7.5,2.7,6.5,41.0,0.8,2.5,33.7,1.3,1.8,73.0,0.9,3.3,4.1,1.2,0.5,0.5,0.7,8.8
510,Frank Kornet,Not Inducted,1989,57,7.7,2.0,0.7,2.0,36.8,0.1,0.4,25.0,0.4,0.7,61.5,0.4,0.8,1.2,0.4,0.3,0.1,0.4,2.0
511,Franklin Edwards,Not Inducted,1981,42,6.9,3.6,1.5,3.6,43.3,0.0,0.2,0.0,0.5,0.6,74.1,0.2,0.4,0.6,1.1,0.4,0.1,0.6,3.0
512,Fred Cofield,Not Inducted,1985,45,10.4,3.7,1.7,4.1,40.8,0.1,0.3,20.0,0.3,0.4,60.0,0.1,0.9,1.0,1.8,0.4,0.1,1.1,3.3
513,Fred Roberts,Not Inducted,1983,79,19.4,7.3,2.7,5.1,53.6,0.0,0.1,25.0,1.8,2.2,83.7,1.3,2.6,3.8,1.2,0.7,0.5,1.3,9.5
514,Furkan Aldemir,Not Inducted,2014,41,13.2,2.3,1.0,1.9,51.3,0.0,0.1,0.0,0.3,0.7,48.1,1.9,2.4,4.3,0.7,0.4,0.4,0.4,6.4
515,Gal Mekel,Not Inducted,2013,31,9.4,2.4,1.0,2.8,34.9,0.2,0.6,25.0,0.3,0.4,66.7,0.2,0.7,0.9,2.0,0.1,0.0,1.0,2.5
516,Garrett Temple,Not Inducted,2009,27,12.4,5.0,1.6,3.7,43.6,0.5,1.4,35.1,1.3,1.9,70.0,0.2,0.9,1.1,0.8,0.5,0.2,1.0,4.0
517,Garry Witts,Not Inducted,1981,46,10.7,2.9,1.1,1.8,58.3,0.0,0.0,50.0,0.7,0.9,82.5,0.6,0.7,1.3,0.8,0.4,0.1,0.8,3.8
518,Gary Forbes,Not Inducted,2010,63,12.6,5.2,2.0,4.3,45.4,0.3,0.9,32.8,0.9,1.4,67.8,0.4,1.4,1.8,0.8,0.4,0.1,0.7,4.7
519,Gary Grant,Not Inducted,1988,71,27.1,11.9,5.1,11.7,43.5,0.1,0.3,22.7,1.7,2.3,73.5,1.1,2.2,3.4,7.1,2.0,0.1,3.6,13.7
520,Gary Harris,Not Inducted,2014,55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,2.3
