,Player,Year,Pick
4864,George Peterson,1981,106
4865,Herb Andrew,1981,107
4866,Johnny Nash,1981,108
4867,Jim Wright,1981,109
4868,Mike Rhodes,1981,110
4869,Craig Watts,1981,111
4870,Paul Heuerman,1981,112
4871,Kelvin Troy,1981,113
4872,Steve Craig,1981,114
4873,Glen Grunwald,1981,115
4874,Karl Bakowski,1981,116
4875,Vince Brookins,1981,117
4876,Kevin Lynam,1981,118
4877,Kevin Sprewer,1981,119
4878,Aaron Strayhorn,1981,120
4879,Darryl Warwick,1981,121
4880,Earl Banks,1981,122
4881,Mike Pepper,1981,123
4882,Alonzo Weatherley,1981,124
4883,Robert Williams,1981,125
4884,Carter Scott,1981,126
4885,Fred Cowan,1981,127
4886,Brian Walker,1981,128
4887,Robert Fronk,1981,129
4888,Roger Burkman,1981,130
4889,Roshern Arnie,1981,131
4890,John Blair,1981,132
4891,Norman Shavers,1981,133
4892,Kevin Singleton,1981,134
4893,Pete Harris,1981,135
4894,Jo Jo Hunter,1981,136
4895,Steve Waite,1981,137
4896,Michael Thomas,1981,138
4897,Danny Davis,1981,139
4898,Greg Nance,1981,140
4899,Rod Robertson,1981,141
4900,Andre Smith,1981,142
4901,Mike Robinson,1981,143
4902,Kevin Vesey,1981,144
4903,Tom Sienkiewicz,1981,145
4904,Randy Johnson,1981,146
4905,Greg Manning,1981,147
4906,Robby Dosty,1981,148
4907,Randy Martel,1981,149
4908,Clinton Wheeler,1981,150
4909,Joe Faine,1981,151
4910,Larry McKinney,1981,152
4911,Julius Wayne,1981,153
4912,Scott Williams,1981,154
4913,Terry Cramer,1981,155
4914,Mark Minderman,1981,156
4915,Larry Petty,1981,157
4916,David Williams,1981,158
4917,Lewis Latimore,1981,159
4918,John Crawford,1981,160
4919,Tom Seaman,1981,161
4920,David Kennedy,1981,162
4921,Joe Schoen,1981,163
4922,Ken Webb,1981,164
4923,Bobby Cattage,1981,165
4924,Glen Marcus,1981,166
4925,Gilbert Salinas,1981,167
4926,Todd Haynes,1981,168
4927,Curtis Redding,1981,169
4928,Mike Howard,1981,170
4929,Yasutaka Okayama,1981,171
4930,Stanley Brewer,1981,172
4931,Randy Smithson,1981,173
4932,Len Hatzenbeller,1981,174
4933,Ben Mitchell,1981,175
4934,John Smith,1981,176
4935,Brian O'Connor,1981,177
4936,Bob Bartholomew,1981,178
4937,Jay Triano,1981,179
4938,Steve Risley,1981,180
4939,Mike Brkovich,1981,181
4940,George Morrow,1981,182
4941,Frank Gilroy,1981,183
4942,John Hollinden,1981,184
4943,Eddie Baker,1981,185
4944,Rudy Williams,1981,186
4945,Paul Roba,1981,187
4946,Ken Ollie,1981,188
4947,Howard Thompkins,1981,189
4948,Art Jones,1981,190
4949,Andrew Burton,1981,191
4950,Doug Murrey,1981,192
4951,Eddie Brown,1981,193
4952,Mike Perry,1981,194
4953,Scott Whitley,1981,195
4954,Sid Williams,1981,196
4955,Terry Martin,1981,197
4956,Marty Headd,1981,198
4957,Leonel Marquetti,1981,199
4958,Brian Johnson,1981,200
4959,Chip Rucker,1981,201
4960,Ron Wister,1981,202
4961,Greg McCray,1981,203
4962,Scott Bosanko,1981,204
4963,Melvin Maxwell,1981,205
4964,Vic Sison,1981,206
4965,Joe Merten,1981,207
4966,Greg Boone,1981,208
4967,Mike Frazier,1981,209
4968,Tony Gwynn,1981,210
4969,Derrick Rowland,1981,211
4970,Ralton Way,1981,212
4971,Barry Brooks,1981,213
4972,Mark Wilson,1981,214
4973,Rodney Benson,1981,215
4974,Kenny Easley,1981,216
4975,Steve Cochran,1981,217
4976,Kevin Rogers,1981,218
4977,Alvin Brooks,1981,219
4978,Felton Sealey,1981,220
4979,Artie Green,1981,221
4980,Ken Matthews,1981,222
4981,Pete Mullenberg,1981,223
4982,James Worthy,1982,1
4983,Terry Cummings,1982,2
4984,Dominique Wilkins,1982,3
4985,Bill Garnett,1982,4
4986,LaSalle Thompson,1982,5
4987,Trent Tucker,1982,6
4988,Quintin Dailey,1982,7
4989,Clark Kellogg,1982,8
4990,Cliff Levingston,1982,9
4991,Keith Edmonson,1982,10
4992,Fat Lever,1982,11
4993,John Bagley,1982,12
4994,Sleepy Floyd,1982,13
4995,Lester Conner,1982,14
4996,David Thirdkill,1982,15
4997,Terry Teagle,1982,16
4998,Brook Steppe,1982,17
4999,Ricky Pierce,1982,18
5000,Rob Williams,1982,19
5001,Paul Pressey,1982,20
5002,Eddie Phillips,1982,21
5003,Mark McNamara,1982,22
5004,Darren Tillis,1982,23
5005,Oliver Robinson,1982,24
5006,Bryan Warrick,1982,25
5007,Ricky Frazier,1982,26
5008,Fred Roberts,1982,27
5009,Dave Magley,1982,28
5010,Scott Hastings,1982,29
5011,Wallace Bryant,1982,30
5012,Rod Higgins,1982,31
5013,Richard Anderson,1982,32
5014,Linton Townes,1982,33
5015,Vince Taylor,1982,34
5016,Derek Smith,1982,35
5017,J.J. Anderson,1982,36
5018,Audie Norris,1982,37
5019,Wayne Sappleton,1982,38
5020,Kevin Magee,1982,39
5021,Guy Morgan,1982,40
5022,Dwight Anderson,1982,41
5023,Jeff Taylor,1982,42
5024,Jose Slaughter,1982,43
5025,Mike Gibson,1982,44
5026,Russ Schoene,1982,45
5027,Tony Guy,1982,46
5028,Michael Wilson,1982,47
5029,Craig Hodges,1982,48
5030,Steve Trumbo,1982,49
5031,Corny Thompson,1982,50
5032,Jim Johnstone,1982,51
5033,Dan Caldwell,1982,52
5034,Tyrone Adams,1982,53
5035,Willie Jones,1982,54
5036,Jerry Eaves,1982,55
5037,Joe Kopicki,1982,56
5038,Craig Tucker,1982,57
5039,Mike Largey,1982,58
5040,Jimmy Black,1982,59
5041,Chris Engler,1982,60
5042,Charles Pittman,1982,61
5043,Roylin Bond,1982,62
5044,Chuck Nevitt,1982,63
5045,Willie Redden,1982,64
5046,John Greig,1982,65
5047,Phillip Lockett,1982,66
5048,Mike Hackett,1982,67
5049,Dale Solomon,1982,68
5050,Perry Moss,1982,69
5051,Reggie Hannah,1982,70
5052,Darius Clemons,1982,71
5053,Mark Eaton,1982,72
5054,Rudy Woods,1982,73
5055,Mike Sanders,1982,74
5056,Norm Anchrum,1982,75
5057,Chuck Aleksinas,1982,76
5058,Jeff Jones,1982,77
5059,Walker Russell,1982,78
5060,Eric Smith,1982,79
5061,James Griffin,1982,80
5062,Dino Gregory,1982,81
5063,Tony Brown,1982,82
5064,Ken Stancell,1982,83
5065,Alford Turner,1982,84
5066,Andre Gaddy,1982,85
5067,Rory White,1982,86
5068,Tony Grier,1982,87
5069,Ken Owens,1982,88
5070,Jerry Beck,1982,89
5071,Craig McCormick,1982,90
5072,Bruce Atkins,1982,91
5073,Greg Stewart,1982,92
5074,Terry White,1982,93
5075,Gary Carter,1982,94
5076,Mike McKay,1982,95
5077,Ken Arnold,1982,96
5078,Ken Simpson,1982,97
5079,Aaron Howard,1982,98
5080,Rubin Jackson,1982,99
5081,Rich DiBenedetto,1982,100
5082,John Ebeling,1982,101
5083,Mark Hall,1982,102
5084,Cherokee Rhone,1982,103
5085,Clarence Dickerson,1982,104
5086,Chris Giles,1982,105
5087,Albert Irving,1982,106
5088,Jeff Schneider,1982,107
5089,Marvin McCrary,1982,108
5090,Bill Duffy,1982,109
5091,Clarence Swannegan,1982,110
5092,Rod Camp,1982,111
5093,Jerry Davis,1982,112
5094,Howard McNeill,1982,113
5095,Donald Mason,1982,114
5096,William Brown,1982,115
5097,Vince Reynolds,1982,116
5098,Eric Marbury,1982,117
5099,Alvin Jackson,1982,118
5100,Wayne Waggoner,1982,119
5101,Poncho Wright,1982,120
5102,Mike Kanieski,1982,121
5103,B. B. Fontenet,1982,122
5104,Jeff Clark,1982,123
5105,Gary Holmes,1982,124
5106,Leo Cunningham,1982,125
5107,Jay Bruchak,1982,126
5108,Byron Williams,1982,127
5109,Mel Daniel,1982,128
5110,David Vann,1982,129
5111,Jake Bethany,1982,130
5112,Chris Brust,1982,131
5113,Don Wilson,1982,132
5114,Jaime Pena,1982,133
5115,Bobby Potts,1982,134
5116,Tony Carr,1982,135
5117,Lynden Rose,1982,136
5118,Kevin Boyle,1982,137
5119,John Schweitz,1982,138
5120,Randy Reed,1982,139
5121,Eddie Hughes,1982,140
5122,Thad Gardner,1982,141
5123,Bob Grady,1982,142
5124,Perry Range,1982,143
5125,Phil Seymore,1982,144
5126,Chuck Verderber,1982,145
5127,Brad Leaf,1982,146
5128,Dean Marquardt,1982,147
5129,Horace Wyatt,1982,148
5130,Terry Long,1982,149
5131,Wendell Gibson,1982,150
5132,Tony Anderson,1982,151
5133,Matt Waldron,1982,152
5134,Jeb Barlow,1982,153
5135,Mike Helms,1982,154
5136,Phil Ward,1982,155
5137,Delonte Taylor,1982,156
5138,Allen Rayhorn,1982,157
5139,Bobby Austin,1982,158
5140,Maurice Williams,1982,159
5141,Keith Hilliard,1982,160
5142,Phil Collins,1982,161
5143,Monty Knight,1982,162
5144,Jacques Tuz,1982,163
5145,Rick Campbell,1982,164
5146,Keith Peterson,1982,165
5147,Ed Nealy,1982,166
5148,Dan Terwilliger,1982,167
5149,Mike Burns,1982,168
5150,Donald Reese,1982,169
5151,Brian Nyenhuis,1982,170
5152,Dave Porter,1982,171
5153,James Ratiff,1982,172
5154,Ken Luck,1982,173
5155,Otis Jackson,1982,174
5156,Mark King,1982,175
5157,Dan Callandrillo,1982,176
5158,Rick Elrod,1982,177
5159,Donny Speer,1982,178
5160,Chris Faggi,1982,179
5161,Steve Burks,1982,180
5162,Bryan Leonard,1982,181
5163,Micah Blunt,1982,182
5164,Donald Seals,1982,183
5165,Ed Spriggs,1982,184
5166,Tony Hafley,1982,185
5167,John Hegwood,1982,186
5168,Riley Clarida,1982,187
5169,Ralph McPherson,1982,188
5170,Jack Moore,1982,189
5171,Merle Scott,1982,190
5172,Skip Dillard,1982,191
5173,Mike Scearce,1982,192
5174,Kevin Smith,1982,193
5175,Pierre Bland,1982,194
5176,Mark Dearborn,1982,195
5177,James Terry,1982,196
5178,Gary Johnson,1982,197
5179,Nick Morken,1982,198
5180,Ken Lyles,1982,199
5181,Dean Sears,1982,200
5182,Harry O'Brien,1982,201
5183,Robert Tate,1982,202
5184,Tim Byrne,1982,203
5185,George Melton,1982,204
5186,Panayoti Giannakis,1982,205
5187,Durand Walker,1982,206
5188,Daryl Stovall,1982,207
5189,Michael Edwards,1982,208
5190,Albert Culton,1982,209
5191,Robert Estes,1982,210
5192,John Leonard,1982,211
5193,Tony Britto,1982,212
5194,Craig Summers,1982,213
5195,David Coulthard,1982,214
5196,Grant Taylor,1982,215
5197,Ronnie McAdoo,1982,216
5198,Donald Sinclair,1982,217
